1	I	112877	112883
1	I	41598	41604
1	I	193482	193488
1	I	76318	76324
1	I	170853	170859
1	I	143000	143006
1	I	115256	115262
1	I	166780	166786
1	I	40921	40927
1	I	11276	11282
1	I	115736	115742
1	I	138053	138059
1	I	89185	89191
1	I	119333	119339
1	I	46797	46803
1	I	163872	163878
1	I	18574	18580
1	I	21472	21478
1	I	179888	179894
1	I	158852	158858
1	I	126491	126497
1	I	99770	99776
1	I	87517	87523
1	I	71084	71090
1	I	127138	127144
1	I	28873	28879
1	I	169005	169011
1	I	193678	193684
1	I	59556	59562
1	I	73594	73600
1	I	10131	10137
1	I	164731	164737
1	I	144232	144238
1	I	153538	153544
1	I	19287	19293
1	I	179451	179457
1	I	97684	97690
1	I	149273	149279
1	I	74023	74029
1	I	105063	105069
1	I	72686	72692
1	I	195958	195964
1	I	47337	47343
1	I	176393	176399
1	I	78175	78181
1	I	199268	199274
1	I	9783	9789
1	I	194319	194325
1	I	120078	120084
1	I	131747	131753
1	I	34510	34516
1	I	30616	30622
1	I	197642	197648
1	I	51353	51359
1	I	193166	193172
1	I	30104	30110
1	I	33166	33172
1	I	12583	12589
1	I	153584	153590
1	I	156116	156122
1	I	145573	145579
1	I	23684	23690
1	I	136639	136645
1	I	95197	95203
1	I	89051	89057
1	I	53247	53253
1	I	193386	193392
1	I	85082	85088
1	I	74260	74266
1	I	13328	13334
1	I	83011	83017
1	I	22053	22059
1	I	193745	193751
1	I	177293	177299
1	I	4315	4321
1	I	72191	72197
1	I	103751	103757
1	I	126837	126843
1	I	164998	165004
1	I	189917	189923
1	I	104369	104375
1	I	63604	63610
1	I	44571	44577
1	I	45803	45809
1	I	137900	137906
1	I	4822	4828
1	I	90044	90050
1	I	29452	29458
1	I	70965	70971
1	I	106888	106894
1	I	164200	164206
1	I	156840	156846
1	I	155854	155860
1	I	126208	126214
1	I	133469	133475
1	I	186830	186836
1	I	118100	118106
1	I	94288	94294
1	I	122139	122145
1	I	24825	24831
1	I	174470	174476
1	I	148203	148209
1	I	177899	177905
1	I	128443	128449
1	I	143754	143760
1	I	64202	64208
1	I	20179	20185
1	I	155877	155883
1	I	71257	71263
1	I	105625	105631
1	I	133847	133853
1	I	160140	160146
1	I	75475	75481
1	I	80887	80893
1	I	146835	146841
1	I	127533	127539
1	I	50470	50476
1	I	95350	95356
1	I	72427	72433
1	I	140233	140239
1	I	181940	181946
1	I	187604	187610
1	I	55826	55832
1	I	40533	40539
1	I	93101	93107
1	I	167233	167239
1	I	18526	18532
1	I	114094	114100
1	I	31772	31778
1	I	89617	89623
1	I	41429	41435
1	I	136689	136695
1	I	39721	39727
1	I	50837	50843
1	I	50201	50207
1	I	6928	6934
1	I	80453	80459
1	I	62031	62037
1	I	89958	89964
1	I	152328	152334
1	I	87386	87392
1	I	2356	2362
1	I	27430	27436
1	I	1553	1559
1	I	148701	148707
1	I	168880	168886
1	I	165169	165175
1	I	1000	1006
1	I	137973	137979
1	I	88088	88094
1	I	63645	63651
1	I	124060	124066
1	I	127495	127501
1	I	120353	120359
1	I	103646	103652
1	I	159825	159831
1	I	136085	136091
1	I	136459	136465
1	I	198095	198101
1	I	155473	155479
1	I	53517	53523
1	I	16684	16690
1	I	29082	29088
1	I	10599	10605
1	I	194177	194183
1	I	55720	55726
1	I	129013	129019
1	I	171573	171579
1	I	103639	103645
1	I	139799	139805
1	I	123350	123356
1	I	35984	35990
1	I	146587	146593
1	I	119300	119306
1	I	64519	64525
1	I	143327	143333
1	I	171323	171329
1	I	172802	172808
1	I	133587	133593
1	I	164793	164799
1	I	184037	184043
1	I	18424	18430
1	I	35668	35674
1	I	79089	79095
1	I	98028	98034
1	I	39377	39383
1	I	186568	186574
1	I	38888	38894
1	I	130699	130705
1	I	179805	179811
1	I	74730	74736
1	I	194526	194532
1	I	135262	135268
1	I	144530	144536
1	I	15466	15472
1	I	142275	142281
1	I	148711	148717
1	I	159608	159614
1	I	2407	2413
1	I	92957	92963
1	I	168695	168701
1	I	134208	134214
1	I	167037	167043
1	I	53722	53728
1	I	11331	11337
1	I	88465	88471
1	I	183302	183308
1	I	98775	98781
1	I	64555	64561
1	I	94757	94763
1	I	14904	14910
1	I	66456	66462
1	I	9938	9944
1	I	199188	199194
1	I	9462	9468
1	I	81219	81225
1	I	43438	43444
1	I	130240	130246
1	I	67881	67887
1	I	116408	116414
1	I	139566	139572
1	I	35707	35713
1	I	171472	171478
1	I	105500	105506
1	I	188464	188470
1	I	59698	59704
1	I	185154	185160
1	I	120910	120916
1	I	46590	46596
1	I	115992	115998
1	I	178398	178404
1	I	38862	38868
1	I	99213	99219
1	I	142797	142803
1	I	143556	143562
1	I	30403	30409
1	I	28452	28458
1	I	157125	157131
1	I	55049	55055
1	I	68157	68163
