I	76079	-
I	174597	-
I	105060	-
I	147504	+
I	63069	+
I	17500	+
I	152159	-
I	12656	+
I	87464	+
I	132768	+
I	101180	+
I	199440	-
I	117609	-
I	43572	-
I	40879	-
I	100565	-
I	8221	+
I	85943	-
I	49949	+
I	139403	+
I	37287	+
I	36161	+
I	21311	+
I	94771	+
I	135690	+
I	192039	-
I	92657	+
I	100367	-
I	42039	+
I	42648	-
I	6623	+
I	105751	-
I	119602	+
I	125465	+
I	155520	+
I	53385	-
I	20039	-
I	50369	-
I	30650	+
I	48767	-
I	190036	-
I	198634	-
I	138191	-
I	36604	+
I	79381	-
I	102927	+
I	106224	+
I	153275	+
I	45703	-
I	115804	+
I	183568	+
I	95236	-
I	153070	-
I	82659	-
I	138808	-
I	158094	+
I	195518	-
I	71654	+
I	16242	-
I	98871	+
I	50659	-
I	116160	+
I	17340	+
I	28355	+
I	74453	+
I	67483	+
I	50762	-
I	145782	+
I	178318	-
I	99881	-
I	125482	+
I	74927	+
I	179235	-
I	56120	+
I	3372	+
I	41893	-
I	42227	-
I	111611	+
I	176151	-
I	119113	+
I	140403	-
I	75858	+
I	169748	+
I	56775	-
I	31878	+
I	153272	-
I	4756	+
I	7004	-
I	61782	+
I	100866	-
I	148150	-
I	180213	-
I	195816	+
I	102786	-
I	187518	+
I	79719	+
I	115907	-
I	16943	+
I	72025	+
I	116081	-
I	3699	+
I	19301	+
I	90596	+
I	56561	-
I	141982	+
I	111834	-
I	161366	+
I	38938	-
I	84384	-
I	101662	+
I	24602	+
I	64908	-
I	175342	-
I	121677	-
I	188765	-
I	160908	-
I	160584	+
I	101245	+
I	101144	+
I	35138	+
I	137588	-
I	191038	+
I	146756	+
I	38206	+
I	93120	-
I	153041	-
I	104579	-
I	124037	+
I	167748	+
I	99834	-
I	166547	-
I	188334	-
I	109479	+
I	152136	-
I	22806	-
I	84940	+
I	195559	+
I	138162	+
I	52549	+
I	38451	+
I	122841	-
I	105771	+
I	13357	-
I	188583	-
I	64801	-
I	7494	-
I	40045	+
I	10392	-
I	87542	-
I	194867	-
I	32592	+
I	153339	-
I	68906	+
I	195684	+
I	57941	-
I	199498	+
I	35599	-
I	172276	-
I	42304	-
I	56350	+
I	163561	-
I	145505	+
I	136900	+
I	58302	-
I	64042	+
I	156088	+
I	119555	-
I	185520	-
I	122670	-
I	75550	-
I	2415	+
I	47641	+
I	131377	+
I	193130	+
I	158430	-
I	86167	-
I	52493	-
I	51174	+
I	157359	-
I	26870	-
I	119420	+
I	167594	+
I	41662	-
I	191638	-
I	115790	-
I	47120	+
I	52778	-
I	90090	+
I	119743	+
I	84407	-
I	117211	+
I	88051	+
I	42765	-
I	145520	-
I	161049	-
I	32065	-
I	91431	+
I	66514	+
I	49190	+
I	61547	+
I	106313	+
I	174305	-
I	180975	-
I	169777	-
I	8411	-
I	75272	+
I	99306	+
I	23998	-
I	9290	+
I	59336	+
I	157677	+
I	103644	+
I	176710	-
I	146410	+
I	106075	+
I	11462	-
I	72137	-
I	139745	+
I	12542	-
I	93549	-
I	103741	+
I	152543	-
I	106660	+
I	90305	+
I	175245	-
I	96445	-
I	171157	-
I	105373	+
I	35191	-
I	38731	-
I	110388	+
I	26199	+
I	169459	-
I	67710	-
I	65071	-
I	26651	-
I	37068	-
I	196943	-
I	109261	-
I	115115	+
I	132026	-
I	41536	+
I	90285	-
I	102914	-
I	151927	+
I	189885	-
I	71392	+
I	127169	-
I	127050	+
I	182434	-
I	80423	-
I	133563	-
I	42746	-
I	47870	+
I	152523	+
I	158655	-
I	167219	+
I	134689	-
I	79315	-
I	72880	-
I	113820	-
I	163401	+
I	159219	+
I	114565	+
I	4548	-
I	199573	+
I	58004	-
I	115193	+
I	191470	-
I	99554	+
I	33081	-
I	96798	-
I	105337	+
I	120842	-
I	163933	-
I	117365	+
I	182458	-
I	38119	+
I	113344	+
I	46246	+
I	143329	+
I	8106	+
I	20459	+
I	156428	+
I	145286	-
I	142402	+
I	77530	+
I	40284	-
I	97061	+
I	194045	+
I	159624	-
I	22634	+
I	97681	-
I	35252	-
I	29726	-
I	53606	-
I	5929	+
I	166304	+
I	117215	-
I	53316	-
I	160172	+
I	18507	-
I	9614	+
I	132548	-
I	197659	+
I	107093	+
I	17892	-
I	72681	-
I	85620	+
I	57006	-
I	161581	+
I	88590	-
I	136693	-
I	9045	+
I	89132	-
I	183253	-
I	191228	-
I	185759	+
I	116769	+
I	68490	+
I	139722	-
I	52114	+
I	25016	+
I	175251	+
I	151500	-
I	105634	+
I	13269	+
I	42425	-
I	191417	-
I	20488	-
I	101107	-
I	77158	+
I	188328	+
I	16537	+
I	108194	+
I	95545	+
I	99936	+
I	51730	+
I	30286	-
I	146932	+
I	150720	-
I	100426	+
I	138672	-
I	77643	-
I	131907	+
I	111860	+
I	24070	+
I	146844	-
I	80366	+
I	54465	+
I	115591	-
I	20677	+
I	23638	-
I	152042	-
I	117324	+
I	115808	-
I	68427	+
I	147019	-
I	2857	-
I	135454	+
I	20382	-
I	46863	+
I	165387	+
I	21427	-
I	128803	+
I	89016	-
I	94311	-
I	118844	-
I	165947	+
I	73337	+
I	108809	-
I	94528	+
I	175355	+
I	186067	-
I	53095	-
I	99184	+
I	135249	-
I	54364	-
I	11216	+
I	164657	-
I	172909	+
I	2804	+
I	157299	+
I	151548	-
I	82907	-
I	45055	+
I	3475	-
I	73749	+
I	113138	-
I	61838	+
I	88055	+
I	167492	-
I	60772	+
I	82450	-
I	195335	-
I	86719	-
I	65040	+
I	40802	-
I	139222	+
I	180351	-
I	108578	+
I	138294	-
I	69355	-
I	16437	+
I	96857	+
I	131235	-
I	54384	-
I	120670	-
I	137909	+
I	152627	-
I	173224	+
I	53865	-
I	61961	-
I	190950	+
I	20524	-
I	6667	-
I	27994	-
I	35480	+
I	152233	-
I	185436	-
I	135238	+
I	117434	+
I	39929	-
I	57602	+
I	115510	+
I	128917	+
I	19829	+
I	20447	-
I	124608	-
I	23008	+
I	175993	+
I	116377	+
I	66030	+
I	107469	+
I	136713	+
I	49357	+
I	119861	+
I	184331	+
I	17112	+
I	76565	+
I	136012	+
I	158424	-
I	123560	+
I	135638	-
I	149557	+
I	133404	-
I	24873	+
I	137255	-
I	112312	-
I	187316	-
I	3626	-
I	177522	+
I	86860	-
I	5734	-
I	190685	+
I	191280	+
I	20756	-
I	91435	-
I	66045	-
I	190665	+
I	197165	-
I	39695	-
I	56353	-
I	86554	+
I	196578	-
I	194781	+
I	154419	-
I	86352	+
I	18101	+
I	92109	+
I	84476	+
I	124170	+
I	106382	-
I	108600	+
I	196990	-
I	109501	+
I	26048	+
I	4275	+
I	168335	-
I	38537	-
I	189838	-
I	78886	-
I	105241	-
I	5625	-
I	199477	+
I	68150	+
I	176266	-
I	189499	-
I	155766	+
I	93225	-
I	97149	+
I	32556	-
I	96865	+
I	128927	+
I	67875	-
I	79007	-
I	186703	+
I	76428	-
I	51531	-
I	17423	-
I	95854	-
I	101873	+
I	25162	-
I	39220	-
I	187396	-
I	144874	+
I	100708	+
I	4359	-
I	142227	+
I	28422	+
I	43021	-
I	75245	-
I	142095	-
I	179818	+
I	41302	+
I	76757	+
I	196708	-
I	179245	+
I	178300	+
I	77538	+
I	44546	-
I	96844	+
I	179577	-
I	39600	+
I	181579	-
I	43553	-
I	60202	+
I	77717	-
I	40545	+
I	56428	+
I	56609	+
I	79844	-
I	180303	-
I	104919	-
I	137891	-
I	98583	+
I	115975	-
I	194857	+
I	158570	+
I	25498	-
I	39641	-
I	102285	+
I	89169	+
I	29913	-
I	111296	+
I	126302	+
I	36261	-
I	122760	-
I	41234	+
I	98928	+
I	130557	+
I	185077	+
I	95180	-
I	135902	-
I	51367	+
I	101904	-
I	132059	-
I	10449	-
I	1087	+
I	19424	+
I	5487	-
I	137851	+
I	175155	-
I	97893	+
I	141261	+
I	141642	+
I	99337	-
I	66156	-
I	141429	+
I	114110	+
I	130136	-
I	135396	+
I	58346	+
I	130743	+
I	51084	-
I	138804	+
I	151895	+
I	82308	-
I	191541	+
I	159617	+
I	181952	-
I	28657	+
I	64274	+
I	139816	+
I	142637	-
I	147405	+
I	149915	-
I	13965	-
I	10949	+
I	73912	-
I	1968	-
I	187883	+
I	148835	+
I	180161	+
I	2540	-
I	53566	+
I	10348	-
I	91364	+
I	45730	-
I	113672	+
I	167141	+
I	165919	+
I	66470	-
I	46043	+
I	172071	-
I	60714	-
I	8694	-
I	153287	+
I	154902	-
I	156497	-
I	165438	+
I	184035	+
I	133323	+
I	96577	+
I	128799	+
I	30813	+
I	26212	-
I	54010	-
I	43129	+
I	111247	-
I	161098	+
I	10377	+
I	44313	-
I	121680	-
I	153774	-
I	55953	+
I	81760	+
I	172023	-
I	15932	+
I	74600	-
I	156473	+
I	169920	+
I	174888	+
I	26887	+
I	157200	-
I	170464	+
I	154867	+
I	97576	-
I	189877	-
I	170683	+
I	52197	-
I	189736	+
I	2818	-
I	30208	-
I	46848	-
I	146920	+
I	78481	-
I	71899	-
I	149894	-
I	148386	+
I	136069	-
I	88397	-
I	44773	-
I	9084	+
I	86594	-
I	192393	+
I	151697	+
I	62211	+
I	41736	-
I	142218	+
I	50275	+
I	126412	-
I	130438	+
I	1039	-
I	151581	+
I	72689	-
I	128913	+
I	128216	-
I	55552	-
I	15890	-
I	91034	+
I	36399	+
I	23619	+
I	134676	+
I	137758	+
I	180906	+
I	89332	+
I	52219	-
I	63881	-
I	36687	-
I	152693	+
I	134597	-
I	67480	-
I	116877	-
I	80448	+
I	8981	-
I	84046	+
I	173398	-
I	153576	+
I	35844	+
I	157713	+
I	105305	+
I	49157	+
I	45151	+
